Rk,,Age,Tm,IP,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
87,Jeff Locke*,25,PIT,58.2,10,237,201,17,42,8,2,5,0,3,25,39,.209,.300,.343,.644,.230,69,7,3,4,4,1,4
88,Patrick Corbin*,23,ARI,68.1,10,268,243,14,50,13,1,3,0,1,20,56,.206,.273,.305,.578,.254,74,5,3,1,1,1,1
89,Madison Bumgarner*,23,SFG,72.0,11,289,258,27,53,10,0,7,3,2,22,69,.205,.271,.326,.597,.250,84,4,2,5,2,2,2
90,Shelby Miller,22,STL,62.1,10,244,224,16,45,7,2,4,8,2,16,65,.201,.262,.304,.566,.263,68,4,3,0,1,0,1
91,Mike Minor*,25,ATL,65.2,10,252,234,18,47,11,1,7,1,2,14,61,.201,.247,.346,.593,.238,81,2,1,1,2,0,0
92,A.J. Burnett,36,PIT,76.0,12,310,272,24,54,12,0,4,13,0,29,89,.199,.285,.287,.572,.279,78,5,4,5,0,1,3
93,Jeff Samardzija,28,CHC,72.2,11,291,265,27,52,11,1,6,3,2,24,80,.196,.268,.313,.581,.257,83,5,2,0,0,0,5
94,Max Scherzer,28,DET,68.1,10,261,241,27,47,16,2,5,3,5,16,81,.195,.245,.340,.585,.266,82,4,1,0,3,0,1
95,Clay Buchholz,28,BOS,72.2,10,281,252,14,49,12,1,2,6,2,27,73,.194,.271,.274,.545,.264,69,10,0,1,1,0,0
96,Hisashi Iwakuma,32,SEA,72.2,11,273,258,21,50,10,0,10,3,0,11,69,.194,.228,.349,.577,.221,90,7,1,1,2,1,2
97,Chris Sale*,24,CHW,64.0,9,247,229,19,44,8,0,6,6,0,15,61,.192,.251,.306,.557,.235,70,7,3,0,0,0,2
98,Travis Wood*,26,CHC,66.0,10,257,230,21,44,8,0,5,2,1,22,44,.191,.264,.291,.555,.214,67,7,1,3,1,0,0
99,Yu Darvish,26,TEX,74.1,11,292,263,25,49,7,3,9,4,1,22,105,.186,.257,.338,.595,.263,89,6,4,0,3,1,1
100,Matt Moore*,24,TBR,61.0,10,249,216,15,39,9,1,7,3,0,28,56,.181,.278,.329,.606,.209,71,2,1,4,0,0,0
101,Clayton Kershaw*,25,LAD,80.1,11,304,280,18,49,9,1,4,0,3,21,77,.175,.233,.257,.490,.226,72,6,0,3,0,2,4
102,Matt Harvey,24,NYM,78.0,11,295,274,16,47,7,0,4,1,0,17,84,.172,.221,.241,.462,.229,66,5,1,1,2,1,3
