473234,"Abreu","SFO","v mia",1,"F,1-2","H",,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,6/20/2013
571431,"Adams, Matt","STL","v chc",1,"F,6-1","H",1,4,1,1,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,"1B",,6/20/2013
501660,"Almonte, Zoilo","NYY","v tam",1,"F,3-8","H",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH",,6/20/2013
514888,"Altuve, Jose","HOU","v mil",1,"F,7-4","H",1,5,1,,,,,,,,,2,,,,,,2,,1,,,,,,,,,,,,,,,,,,"2B",,6/20/2013
476883,"Alvarez, Pedro","PIT","@ cin",1,"F,5-3","H",1,4,3,1,,1,1,5,,,,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,"3B",,6/20/2013
506560,"Amarista, Alexi","SDG","v lad",1,"F,6-3","H",1,4,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,6/20/2013
462101,"Andrus, Elvis","TEX","v oak",1,"F,4-3","H",1,3,1,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,"SS",,6/20/2013
542455,"Arcia, Oswaldo","MIN","v chw",1,"F,8-4","H",1,4,3,,,1,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"RF-LF",,6/20/2013
571448,"Arenado, Nolan","COL","@ was",1,"F,1-5","H",1,4,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"3B",,6/20/2013
435078,"Arias","SFO","v mia",1,"F,1-2","H",1,2,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SS",,6/20/2013
430947,"Aybar, Erick","LAA","v sea",1,"F,10-9","H",1,4,2,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,"SS",,6/20/2013
488681,"Barnes, Brandon","HOU","v mil",1,"F,7-4","H",,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"CF",,6/20/2013
446381,"Barney, Darwin","CHC","@ stl",1,"F,1-6","H",1,3,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"2B",,6/20/2013
493596,"Beckham, Gordon","CHW","@ min",1,"F,4-8","H",1,4,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,"2B",,6/20/2013
474832,"Belt","SFO","v mia",1,"F,1-2","H",1,4,1,1,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"1B",,6/20/2013
136860,"Beltran, Carlos","STL","v chc",1,"F,6-1","H",1,3,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"RF",,6/20/2013
134181,"Beltre, Adrian","TEX","v oak",1,"F,4-3","H",1,4,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"3B",,6/20/2013
465668,"Bernadina, Roger","WAS","v col",1,"F,5-1","H",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LF",,6/20/2013
435358,"Betancourt, Yuniesky","MIL","@ hou",1,"F,4-7","H",1,4,,,,,1,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,"3B",,6/20/2013
453923,"G, Blanco,","SFO","v mia",1,"F,1-2","H",1,4,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"LF",,6/20/2013
111072,"Blanco, Henry","SEA","@ laa",1,"F,9-10","H",1,3,,,,,,,1,,,3,,,,,,1,1,1,,,,,,,,,,,,,,,,,,"C",,6/20/2013
452035,"Blanks, Kyle","SDG","v lad",1,"F,6-3","H",1,3,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1B",,6/20/2013
474865,"Borbon, Julio","CHC","@ stl",1,"F,1-6","H",,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"PH",,6/20/2013
488721,"Bourjos, Peter","LAA","v sea",1,"F,10-9","H",1,4,3,,,1,3,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,"CF",,6/20/2013
542963,"Brantly, Rob","MIA","@ sfo",1,"F,2-1","H",1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C",,6/20/2013
458582,"Brignac, Reid","NYY","v tam",1,"F,3-8","H",1,3,1,,,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,"SS",,6/20/2013
518500,"Brown, Andrew","NYM","@ atl",1,"F,4-3","H",,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH",,6/20/2013
457803,"Bruce, Jay","CIN","v pit",1,"F,3-5","H",1,4,1,,,1,1,1,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"RF",,6/20/2013
407833,"Buck, John","NYM","@ atl",1,"F,4-3","H",1,4,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"C",,6/20/2013
407781,"Byrd, Marlon","NYM","@ atl",1,"F,4-3","H",1,4,1,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF",,6/20/2013
408234,"Cabrera, Miguel","DET","v bos",1,"F,4-3","H",1,4,1,1,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,"3B",,6/20/2013
430948,"Callaspo, Alberto","LAA","v sea",1,"F,10-9","H",1,3,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,6/20/2013
429664,"Cano, Robinson","NYY","v tam",1,"F,3-8","H",1,3,,,,,,1,,,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,"2B",,6/20/2013
572761,"Carpenter, Matt","STL","v chc",1,"F,6-1","H",1,4,2,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2B",,6/20/2013
456078,"Castillo, Welington","CHC","@ stl",1,"F,1-6","H",1,4,3,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"C",,6/20/2013
488771,"Castro, Jason","HOU","v mil",1,"F,7-4","H",1,4,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"DH",,6/20/2013
516770,"Castro, Starlin","CHC","@ stl",1,"F,1-6","H",1,4,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,"SS",,6/20/2013
493316,"Cespedes, Yoenis","OAK","@ tex",1,"F,3-4","H",1,4,,,,,,,1,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,"DH",,6/20/2013
346795,"Chavez, Endy","SEA","@ laa",1,"F,9-10","H",1,4,1,1,,,1,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,"RF",,6/20/2013
455139,"Chirinos, Robinson","TEX","v oak",1,"F,4-3","H",1,4,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"1B",,6/20/2013
425783,"Choo, Shin-Soo","CIN","v pit",1,"F,3-5","H",1,4,2,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,"CF",,6/20/2013
465674,"Ciriaco, Pedro","SDG","v lad",1,"F,6-3","H",1,4,2,,1,1,2,3,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,"SS",,6/20/2013
502125,"Colvin, Tyler","COL","@ was",1,"F,1-5","H",1,4,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,"CF",,6/20/2013
449786,"Corporan, Carlos","HOU","v mil",1,"F,7-4","H",1,4,1,,,1,1,1,,,1,2,,,,,,,,4,,,,,,,,,,,,,,,,,,"C",,6/20/2013
446359,"Cozart, Zack","CIN","v pit",1,"F,3-5","H",1,3,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SS",,6/20/2013
501800,"Craig, Allen","STL","v chc",1,"F,6-1","H",,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH",,6/20/2013
424825,"Crisp, Coco","OAK","@ tex",1,"F,3-4","H",1,4,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,"CF",,6/20/2013
460067,"Crowe, Trevor","HOU","v mil",1,"F,7-4","H",1,3,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF",,6/20/2013
443558,"Cruz, Nelson","TEX","v oak",1,"F,4-3","H",1,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"RF",,6/20/2013
150212,"Cuddyer, Michael","COL","@ was",1,"F,1-5","H",1,4,1,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,"RF",,6/20/2013
457477,"De, Alejandro","CHW","@ min",1,"F,4-8","H",1,4,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,6/20/2013
543094,"Decker, Jaff","SDG","v lad",1,"F,6-3","H",,0,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"PH",,6/20/2013
