554429,"Ackley, Dustin","SEA","@ oak",1,"F,7-1","H",1,5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,"2B",,4/2/2013
514888,"Altuve, Jose","HOU","v tex",1,"F,0-7","H",1,4,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"2B",,4/2/2013
462101,"Andrus, Elvis","TEX","@ hou",1,"F,7-0","H",1,4,3,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SS",,4/2/2013
150449,"Ankiel, Rick","HOU","v tex",1,"F,0-7","H",1,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"RF",,4/2/2013
493114,"Aoki, Norichika","MIL","v col",1,"F,4-8","H",1,5,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"RF",,4/2/2013
450317,"Arencibia, J.P.","TOR","v cle",1,"F,1-4","H",1,4,1,1,,,,,,,,2,,,,,,,3,1,,,,,,,,,,,,,,,,,,"C",,4/2/2013
435078,"Arias, Joaquin","SFO","@ lad",1,"F,3-0","H",1,4,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1B",,4/2/2013
430832,"Bautista, Jose","TOR","v cle",1,"F,1-4","H",1,3,1,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"RF",,4/2/2013
136860,"Beltran, Carlos","STL","@ ari",1,"F,6-1","H",1,2,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"RF",,4/2/2013
134181,"Beltre, Adrian","TEX","@ hou",1,"F,7-0","H",1,5,,,,,,,,,,2,,,,,,,,8,,,,,,,,,,,,,,,,,,"3B",,4/2/2013
204020,"Berkman, Lance","TEX","@ hou",1,"F,7-0","H",1,4,3,,,,,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"DH",,4/2/2013
435358,"Betancourt, Yuniesky","MIL","v col",1,"F,4-8","H",,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"PH",,4/2/2013
466988,"Bonifacio, Emilio","TOR","v cle",1,"F,1-4","H",1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2B",,4/2/2013
456422,"Bourn, Michael","CLE","@ tor",1,"F,4-1","H",1,5,2,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"CF",,4/2/2013
488726,"Brantley, Michael","CLE","@ tor",1,"F,4-1","H",1,2,1,,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"LF",,4/2/2013
460075,"Braun, Ryan","MIL","v col",1,"F,4-8","H",1,4,1,,,1,1,2,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,"LF",,4/2/2013
458582,"Brignac, Reid","COL","@ mil",1,"F,8-4","H",,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"3B",,4/2/2013
452678,"Cabrera, Asdrubal","CLE","@ tor",1,"F,4-1","H",1,4,1,,,1,1,2,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,"SS",,4/2/2013
466320,"Cabrera, Melky","TOR","v cle",1,"F,1-4","H",1,4,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"LF",,4/2/2013
572761,"Carpenter, Matt","STL","@ ari",1,"F,6-1","H",1,5,2,2,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,"3B",,4/2/2013
474892,"Carter, Chris","HOU","v tex",1,"F,0-7","H",1,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"LF",,4/2/2013
488771,"Castro, Jason","HOU","v tex",1,"F,0-7","H",1,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"DH",,4/2/2013
493316,"Cespedes, Yoenis","OAK","v sea",1,"F,1-7","H",1,4,1,,,1,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,"LF",,4/2/2013
136767,"Chavez, Eric","ARI","v stl",1,"F,1-6","H",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,4/2/2013
502082,"Chisenhall, Lonnie","CLE","@ tor",1,"F,4-1","H",1,4,1,,,,,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,"3B",,4/2/2013
449786,"Corporan, Carlos","HOU","v tex",1,"F,0-7","H",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C",,4/2/2013
501800,"Craig, Allen","STL","@ ari",1,"F,6-1","H",1,5,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1B",,4/2/2013
543063,"Crawford, Brandon","SFO","@ lad",1,"F,3-0","H",1,4,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,"SS",,4/2/2013
408307,"Crawford, Carl","LAD","v sfo",1,"F,0-3","H",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH",,4/2/2013
424825,"Crisp, Coco","OAK","v sea",1,"F,1-7","H",1,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"CF",,4/2/2013
458501,"Cruz, Luis","LAD","v sfo",1,"F,0-3","H",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3B-SS",,4/2/2013
443558,"Cruz, Nelson","TEX","@ hou",1,"F,7-0","H",1,5,2,1,,,1,1,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF",,4/2/2013
150212,"Cuddyer, Michael","COL","@ mil",1,"F,8-4","H",1,5,3,,,,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,"RF",,4/2/2013
501981,"Davis, Khristopher","MIL","v col",1,"F,4-8","H",,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"PH",,4/2/2013
448801,"Davis, Chris","BAL","@ tam",1,"F,7-4","H",1,4,1,,,1,1,3,1,,,1,,,,,,,,4,1,,,,,,,,,,,,,,,,,"1B",,4/2/2013
518614,"Descalso, Daniel","STL","@ ari",1,"F,6-1","H",1,4,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,"2B",,4/2/2013
518626,"Donaldson, Josh","OAK","v sea",1,"F,1-7","H",1,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,4/2/2013
455167,"Duncan, Shelley","TAM","v bal",1,"F,4-7","H",,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"PH-1B",,4/2/2013
454560,"Ellis, A.J.","LAD","v sfo",1,"F,0-3","H",1,3,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"C",,4/2/2013
407885,"Ellis, Mark","LAD","v sfo",1,"F,0-3","H",1,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2B",,4/2/2013
429665,"Encarnacion, Edwin","TOR","v cle",1,"F,1-4","H",1,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"1B",,4/2/2013
488862,"Escobar, Yunel","TAM","v bal",1,"F,4-7","H",1,4,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,"SS",,4/2/2013
444843,"Ethier, Andre","LAD","v sfo",1,"F,0-3","H",1,3,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"RF",,4/2/2013
451594,"Fowler, Dexter","COL","@ mil",1,"F,8-4","H",1,4,1,,,,1,,1,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,"CF",,4/2/2013
453539,"Fuld, Sam","TAM","v bal",1,"F,4-7","H",1,3,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,"RF-LF",,4/2/2013
