475174,"Alonso, Yonder","SDG","@ col",1,"F,2-14","H",1,4,1,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,"1B",,8/12/2013
506560,"Amarista, Alexi","SDG","@ col",1,"F,2-14","H",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH-CF",,8/12/2013
462101,"Andrus, Elvis","TEX","@ hou",1,"F,2-1","H",1,4,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"SS",,8/12/2013
542455,"Arcia, Oswaldo","MIN","v cle",1,"F,3-0","H",1,2,1,,,,1,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF",,8/12/2013
571448,"Arenado, Nolan","COL","v sdg",1,"F,14-2","H",1,5,4,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,8/12/2013
450317,"Arencibia, J.P.","TOR","v oak",1,"F,1-5","H",1,3,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"C",,8/12/2013
605125,"Asche, Cody","PHI","@ atl",1,"F,5-1","H",1,4,2,,,1,2,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,8/12/2013
449107,"Aviles, Mike","CLE","@ min",1,"F,0-3","H",1,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"3B",,8/12/2013
430947,"Aybar, Erick","LAA","@ nyy",1,"F,1-2","H",1,2,,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"SS",,8/12/2013
425557,"Baker, Jeff","TEX","@ hou",1,"F,2-1","H",1,3,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"1B",,8/12/2013
488681,"Barnes, Brandon","HOU","v tex",1,"F,1-2","H",1,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,8/12/2013
446381,"Barney, Darwin","CHC","v cin",1,"F,0-2","H",1,3,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"2B",,8/12/2013
430832,"Bautista, Jose","TOR","v oak",1,"F,1-5","H",1,3,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF",,8/12/2013
488689,"Baxter, Mike","NYM","@ lad",1,"F,2-4","H",,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH",,8/12/2013
493596,"Beckham, Gordon","CHW","v det",1,"F,6-2","H",1,5,3,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,"2B",,8/12/2013
134181,"Beltre, Adrian","TEX","@ hou",1,"F,2-1","H",1,4,3,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,8/12/2013
453568,"Blackmon, Charlie","COL","v sdg",1,"F,14-2","H",1,5,,,,,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,"RF",,8/12/2013
466988,"Bonifacio, Emilio","TOR","v oak",1,"F,1-5","H",1,3,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"CF",,8/12/2013
456422,"Bourn, Michael","CLE","@ min",1,"F,0-3","H",1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,8/12/2013
488726,"Brantley, Michael","CLE","@ min",1,"F,0-3","H",1,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"LF",,8/12/2013
502126,"Brown, Domonic","PHI","@ atl",1,"F,5-1","H",1,3,,,,,,,1,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,"LF",,8/12/2013
457803,"Bruce, Jay","CIN","@ chc",1,"F,2-0","H",1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RF",,8/12/2013
407833,"Buck, John","NYM","@ lad",1,"F,2-4","H",1,4,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C",,8/12/2013
456714,"Butler, Billy","KAN","v mia",1,"F,6-2","H",1,4,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DH",,8/12/2013
407781,"Byrd, Marlon","NYM","@ lad",1,"F,2-4","H",1,4,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF",,8/12/2013
452678,"Cabrera, Asdrubal","CLE","@ min",1,"F,0-3","H",1,3,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"SS",,8/12/2013
408234,"Cabrera, Miguel","DET","@ chw",1,"F,2-6","H",1,4,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,8/12/2013
594777,"Calhoun, Kole","LAA","@ nyy",1,"F,1-2","H",1,4,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF",,8/12/2013
430948,"Callaspo, Alberto","OAK","@ tor",1,"F,5-1","H",1,4,2,2,,,1,2,,,,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,"3B",,8/12/2013
429664,"Cano, Robinson","NYY","v laa",1,"F,2-1","H",1,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2B",,8/12/2013
425206,"Carroll, Jamey","KAN","v mia",1,"F,6-2","H",,2,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"PH-3B",,8/12/2013
474892,"Carter, Chris","HOU","v tex",1,"F,1-2","H",1,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"DH",,8/12/2013
458210,"Casilla, Alexi","BAL","@ ari",1,"F,6-7","H",,0,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"PR",,8/12/2013
456078,"Castillo, Welington","CHC","v cin",1,"F,0-2","H",1,3,,,,,,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,"C",,8/12/2013
516770,"Castro, Starlin","CHC","v cin",1,"F,0-2","H",1,4,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"SS",,8/12/2013
430592,"Cedeno, Ronny","SDG","@ col",1,"F,2-14","H",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3B",,8/12/2013
493316,"Cespedes, Yoenis","OAK","@ tor",1,"F,5-1","H",1,4,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,"LF",,8/12/2013
425783,"Choo, Shin-Soo","CIN","@ chc",1,"F,2-0","H",1,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,8/12/2013
474233,"Conger, Hank","LAA","@ nyy",1,"F,1-2","H",,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"PH",,8/12/2013
449786,"Corporan, Carlos","HOU","v tex",1,"F,1-2","H",1,3,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"C",,8/12/2013
