217100,"Bloomquist, Willie","ARI","v sfo",1,"F,5-10","H",1,4,1,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"2B",,6/8/2013
466988,"Bonifacio, Emilio","TOR","v tex",1,"F,4-3","H",1,8,2,,,,1,,,,,2,1,,,,,,,6,,,,,,,,,,,,,,,,,,"2B",,6/8/2013
474865,"Borbon, Julio","CHC","v pit",1,"F,2-6","H",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH",,6/8/2013
456422,"Bourn, Michael","CLE","@ det",1,"F,4-6","H",1,4,1,1,,,1,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
488726,"Brantley, Michael","CLE","@ det",1,"F,4-6","H",1,4,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
542963,"Brantly, Rob","MIA","@ nym",1,"F,2-1","H",1,8,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"C",,6/8/2013
460075,"Braun, Ryan","MIL","v phi",1,"F,4-3","H",1,4,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
458582,"Brignac, Reid","NYY","@ sea",1,"F,3-1","H",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
502126,"Brown, Domonic","PHI","@ mil",1,"F,3-4","H",1,4,2,1,,1,1,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
457803,"Bruce, Jay","CIN","v stl",1,"F,4-2","H",1,4,2,,,1,1,1,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,"RF",,6/8/2013
407833,"Buck, John","NYM","v mia",1,"F,1-2","H",1,8,2,,,,,,,,1,2,,,,,,,,5,,,,,,,,,,1,,,,,,,,"C",,6/8/2013
456714,"Butler, Billy","KAN","v hou",1,"F,7-2","H",1,4,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"DH",,6/8/2013
